project_id,customer_name,segment,region_name,project_type,contract_type,start_month,planned_end_month,status,revenue_to_date_usd,direct_labor_cost_usd,subcontractor_cost_usd,travel_cost_usd,gross_profit_usd,gross_margin_pct,realized_bill_rate_usd
P0037,"Ironwood Mobility 244",SMB,"US East",Implementation,"Time and Materials",2024-09-01,2025-02-01,Completed,210521.97,81394.37,16336.35,2313.86,110477.39,0.5248,239.99
P0053,"Evergreen Education 274",SMB,"US East",Optimization,"Time and Materials",2024-10-01,2025-01-01,Completed,99201.01,39456.59,5867.71,1149.62,52727.11,0.5315,232.27
P0074,"Ironwood Media 003",SMB,"US Central",Training,"Fixed Price",2024-09-01,2024-09-01,Completed,23243.96,9097.1,1267.71,511.37,12367.79,0.5321,233.84
P0139,"Atlas Foods 122",Mid-Market,"US West","Managed Services","Time and Materials",2024-09-01,2025-09-01,Completed,273153.65,115316.14,7409.84,3502.94,146924.76,0.5379,221.54
P0190,"Lakeview Energy 082",SMB,"US West",Optimization,"Time and Materials",2024-02-01,2024-08-01,Completed,92218.07,36541.49,5382.37,664.25,49629.97,0.5382,228.89
P0168,"Cedar Health 203",Mid-Market,"US East",Training,"Fixed Price",2025-05-01,2025-05-01,Completed,68585.88,29252.63,872.89,1508.89,36951.47,0.5388,220.75
P0148,"Summit Energy 223",Enterprise,Canada,Implementation,"Time and Materials",2024-11-01,2025-02-01,Completed,1187080.24,437006.43,92433.84,16684.71,640955.26,0.5399,254.66
P0169,"Silverline Mobility 217",Enterprise,Canada,Optimization,"Time and Materials",2023-01-01,2023-04-01,Completed,403663.93,159454.98,21190.19,4110.34,218908.41,0.5423,228.67
P0078,"Atlas Financial 066",SMB,Canada,"Managed Services","Fixed Price",2026-03-01,2027-03-01,"In Progress",64391.42,26668.41,2113.16,659.68,34950.18,0.5428,232.38
P0127,"BluePeak Financial 278",Enterprise,"US Central",Optimization,"Fixed Price",2025-03-01,2025-04-01,Completed,378656.9,146402.43,20502.96,6142.43,205609.07,0.543,245.09
P0137,"BrightPath Foods 020",Mid-Market,"US West",Optimization,"Time and Materials",2025-10-01,2026-02-01,Completed,130676.69,49411.23,8532.39,1736.78,70996.3,0.5433,249.96
P0056,"Redwood Insurance 045",Mid-Market,"US West",Optimization,"Time and Materials",2026-05-01,2026-09-01,"In Progress",53748.42,21903.44,2451.09,126.38,29267.5,0.5445,235.22
P0079,"BrightPath Technology 095",Mid-Market,"US East",Training,"Fixed Price",2025-08-01,2025-08-01,Completed,28732.23,11061.88,1340.41,632.11,15697.82,0.5463,241.85
P0121,"Meridian Mobility 133",Mid-Market,"US Central","Managed Services","Time and Materials",2024-06-01,2024-12-01,Completed,405237.95,164270.04,13362.05,5122.97,222482.89,0.549,224.66
P0071,"Cedar Health 203",Mid-Market,"US East",Optimization,"Time and Materials",2023-05-01,2023-06-01,Completed,139597.64,54959.22,7580.49,279.19,76778.73,0.55,229.64
P0019,"Highland Insurance 037",Enterprise,"US East","Managed Services","Fixed Price",2022-11-01,2023-07-01,Completed,299134.77,123290.24,7458.15,3586.91,164799.47,0.5509,219.23
P0096,"Frontier Retail 265",Enterprise,"US East",Optimization,"Time and Materials",2024-10-01,2025-03-01,Completed,483683.23,179053.09,33548.77,4507.44,266573.93,0.5511,252.13
P0194,"Westbridge Energy 034",Mid-Market,"US East",Optimization,"Time and Materials",2025-11-01,2026-03-01,Completed,396456.57,147486.23,24202.29,5997.33,218770.72,0.5518,255.65
P0129,"Meridian Retail 205",Mid-Market,"US East",Optimization,"Fixed Price",2025-07-01,2025-12-01,Completed,237924.48,87872.93,15319.33,2228.38,132503.87,0.5569,253.27
P0007,"Frontier Health 297",Mid-Market,"US East","Managed Services","Time and Materials",2022-11-01,2023-05-01,Completed,199681.04,83580.26,3318.05,1403.08,111379.64,0.5578,215.85
P0153,"Highland Health 112",Mid-Market,"US East",Optimization,"Time and Materials",2025-06-01,2025-11-01,Completed,280377.57,106871.33,13529.18,3394.73,156582.34,0.5585,245.82
P0038,"Silverline Mobility 228",Mid-Market,"US West","Managed Services","Time and Materials",2026-04-01,2027-06-01,"In Progress",64352.43,24907.98,2570.63,599.49,36274.35,0.5637,248.85
P0033,"Oakridge Media 185",SMB,"US West","Managed Services","Time and Materials",2025-03-01,2026-06-01,Completed,103656.32,41640.88,2240.12,1320.68,58454.67,0.5639,235.9
P0165,"BluePeak Logistics 238",Mid-Market,"US East",Optimization,"Time and Materials",2024-10-01,2025-02-01,Completed,339765.41,119383.19,24443.96,4295.31,191642.96,0.564,265.07
P0042,"BluePeak Mobility 246",SMB,"US East","Managed Services","Time and Materials",2025-08-01,2026-08-01,"In Progress",138295.51,55488.22,3154.13,1611.76,78041.35,0.5643,236.81
P0093,"Harbor Education 204",Enterprise,"US West",Optimization,"Time and Materials",2023-04-01,2023-06-01,Completed,415031.54,153159.65,21917.54,5593.77,234360.58,0.5647,244.65
P0103,"Silverline Retail 222",Mid-Market,"US East",Optimization,"Fixed Price",2025-01-01,2025-03-01,Completed,343786.0,122698.8,23619.46,3305.31,194162.43,0.5648,267.95
P0151,"Highland Insurance 037",Enterprise,"US East","Managed Services","Fixed Price",2023-01-01,2024-01-01,Completed,659193.54,259477.06,18340.93,8145.13,373230.41,0.5662,227.97
P0202,"BluePeak Retail 084",SMB,"US Central",Training,"Fixed Price",2023-04-01,2023-05-01,Completed,24289.66,9658.15,309.83,534.38,13787.29,0.5676,227.01
P0080,"Pioneer Foods 151",Enterprise,"US Central","Managed Services","Fixed Price",2026-02-01,2027-05-01,"In Progress",183111.64,68683.47,6596.2,2643.76,105188.19,0.5744,256.46
P0084,"Nova Insurance 250",SMB,Canada,"Managed Services","Time and Materials",2026-03-01,2027-06-01,"In Progress",41187.1,15799.2,1198.9,509.6,23679.41,0.5749,250.99
P0111,"Lakeview Financial 212",SMB,"US Central",Training,"Fixed Price",2024-10-01,2024-11-01,Completed,23658.88,9178.73,351.66,520.5,13607.99,0.5752,235.18
P0219,"Highland Insurance 037",Enterprise,"US East","Managed Services","Time and Materials",2026-01-01,2027-03-01,"In Progress",278021.42,105824.38,7812.83,4198.99,160185.23,0.5762,252.45
P0044,"Westbridge Manufacturing 215",Enterprise,"US Central",Optimization,"Time and Materials",2024-12-01,2025-02-01,Completed,752121.4,266482.9,40515.37,11579.42,433543.69,0.5764,267.46
P0104,"Clearwater Insurance 113",SMB,"US East","Managed Services","Time and Materials",2023-02-01,2023-10-01,Completed,52745.39,20366.09,1292.71,621.13,30465.5,0.5776,232.46
P0189,"Vantage Technology 207",Mid-Market,"US West",Training,"Fixed Price",2025-08-01,2025-08-01,Completed,84343.58,30976.23,2573.19,1855.56,48938.6,0.5802,253.44
P0060,"Pioneer Media 241",Mid-Market,"US West","Managed Services","Time and Materials",2024-10-01,2025-10-01,Completed,400284.81,152642.52,10553.08,4727.77,232361.44,0.5805,245.74
P0216,"Summit Financial 181",Mid-Market,"US West",Optimization,"Time and Materials",2025-11-01,2026-03-01,Completed,211394.46,73667.52,12254.66,2315.29,123156.98,0.5826,272.66
P0087,"Stonegate Logistics 005",Mid-Market,Canada,"Managed Services","Time and Materials",2024-10-01,2026-03-01,Completed,427185.95,162708.91,8640.36,5816.8,250019.85,0.5853,246.97
P0126,"BluePeak Logistics 238",Mid-Market,"US East","Managed Services","Time and Materials",2025-04-01,2025-11-01,Completed,535480.59,199726.06,16799.58,5529.53,313425.43,0.5853,251.79
P0170,"Highland Manufacturing 015",SMB,"US East",Training,"Fixed Price",2024-09-01,2024-10-01,Completed,10675.52,3855.96,252.6,234.86,6332.08,0.5931,252.97
P0212,"Atlas Media 193",Mid-Market,"US East",Optimization,"Time and Materials",2025-11-01,2026-02-01,Completed,154533.41,48374.52,12299.23,1312.02,92547.64,0.5989,302.53
P0196,"Lakeview Energy 082",SMB,"US West","Managed Services","Time and Materials",2023-03-01,2024-04-01,Completed,60250.99,21702.63,1573.74,839.32,36135.29,0.5997,249.8
P0133,"Evergreen Energy 190",Enterprise,"US Central",Training,"Fixed Price",2024-06-01,2024-06-01,Completed,134712.4,48278.86,2627.24,2963.67,80842.63,0.6001,252.93
P0062,"Meridian Logistics 152",Mid-Market,"US West",Training,"Fixed Price",2026-01-01,2026-02-01,Completed,58820.88,19399.24,2412.92,1294.06,35714.64,0.6072,290.04
P0050,"Redwood Mobility 114",Enterprise,Canada,"Managed Services","Time and Materials",2025-08-01,2026-07-01,"In Progress",671768.95,239980.23,15811.06,6418.95,409558.7,0.6097,266.02
P0142,"Highland Foods 117",Mid-Market,"US West","Managed Services","Time and Materials",2024-09-01,2025-02-01,Completed,380766.21,128872.71,14882.74,4401.05,232609.71,0.6109,274.13
P0057,"Cedar Financial 049",Mid-Market,Canada,"Managed Services","Fixed Price",2025-07-01,2026-11-01,"In Progress",278516.87,96299.9,6195.94,3704.02,172316.99,0.6187,274.51
P0031,"Atlas Retail 107",SMB,"US Central","Managed Services","Time and Materials",2024-12-01,2026-03-01,Completed,63797.2,22061.91,1386.18,647.04,39702.04,0.6223,273.1
P0052,"Cedar Manufacturing 053",Mid-Market,"US West",Optimization,"Time and Materials",2023-04-01,2023-05-01,Completed,231078.92,79881.6,5176.62,1634.6,144386.12,0.6248,261.11
P0075,"Clearwater Foods 284",Mid-Market,"US West",Training,"Fixed Price",2024-08-01,2024-09-01,Completed,64314.72,21921.75,537.65,1414.92,40440.4,0.6288,267.31
P0088,"Summit Retail 270",Enterprise,"US West","Managed Services","Time and Materials",2025-09-01,2026-08-01,"In Progress",448630.55,148819.94,12127.0,5528.11,282155.5,0.6289,286.94
P0192,"Stonegate Foods 073",Enterprise,"US West",Training,"Fixed Price",2024-02-01,2024-03-01,Completed,113510.88,37583.73,1858.53,2497.24,71571.37,0.6305,275.31
P0134,"Summit Logistics 035",Enterprise,"US West","Managed Services","Time and Materials",2025-06-01,2026-06-01,Completed,365683.16,118959.8,10106.33,3811.88,232805.15,0.6366,291.64
P0204,"Silverline Mobility 217",Enterprise,Canada,Training,"Fixed Price",2025-02-01,2025-03-01,Completed,122234.82,36873.9,4603.09,2689.16,78068.66,0.6387,316.34
P0195,"Lakeview Health 179",Enterprise,Canada,"Managed Services","Time and Materials",2024-11-01,2026-04-01,Completed,571877.48,186669.29,12232.85,6543.68,366431.7,0.6408,289.29
P0166,"Keystone Logistics 145",Mid-Market,"US Central",Training,"Fixed Price",2023-04-01,2023-04-01,Completed,37926.37,11387.97,1282.12,834.38,24421.9,0.6439,299.81
P0193,"Northstar Education 158",Mid-Market,"US West","Managed Services","Time and Materials",2025-07-01,2026-05-01,Completed,154546.98,44054.81,3461.26,1756.19,105274.69,0.6812,332.43
P0114,"BluePeak Energy 087",Mid-Market,"US Central",Training,"Fixed Price",2025-02-01,2025-02-01,Completed,28732.23,7539.27,806.0,632.11,19754.84,0.6875,366.95
